Sexo;Comunidades autónomas;Medidas y percentiles;Periodo;Total
Ambos sexos;Cataluña;Percentil 90;2013;43.498,89
Ambos sexos;Cataluña;Percentil 90;2012;43.224,21
Ambos sexos;Cataluña;Percentil 90;2011;42.613,63
Ambos sexos;Cataluña;Percentil 90;2010;42.967,11
Ambos sexos;Cataluña;Percentil 90;2009;41.470,48
Ambos sexos;Cataluña;Percentil 90;2008;40.774,57
Ambos sexos;Comunitat Valenciana;Media;2022;24.510,34
Ambos sexos;Comunitat Valenciana;Media;2021;23.448,29
Ambos sexos;Comunitat Valenciana;Media;2020;22.856,7
Ambos sexos;Comunitat Valenciana;Media;2019;22.045,66
Ambos sexos;Comunitat Valenciana;Media;2018;22.121,05
Ambos sexos;Comunitat Valenciana;Media;2017;21.362,39
Ambos sexos;Comunitat Valenciana;Media;2016;21.168,81
Ambos sexos;Comunitat Valenciana;Media;2015;20.935,41
Ambos sexos;Comunitat Valenciana;Media;2014;20.639,58
Ambos sexos;Comunitat Valenciana;Media;2013;20.878,02
Ambos sexos;Comunitat Valenciana;Media;2012;21.223,72
Ambos sexos;Comunitat Valenciana;Media;2011;21.316,34
Ambos sexos;Comunitat Valenciana;Media;2010;20.707,24
Ambos sexos;Comunitat Valenciana;Media;2009;20.489,79
Ambos sexos;Comunitat Valenciana;Media;2008;19.793,62
Ambos sexos;Comunitat Valenciana;Percentil 10;2022;10.170,63
Ambos sexos;Comunitat Valenciana;Percentil 10;2021;8.499,99
Ambos sexos;Comunitat Valenciana;Percentil 10;2020;8.360,76
Ambos sexos;Comunitat Valenciana;Percentil 10;2019;7.705,15
Ambos sexos;Comunitat Valenciana;Percentil 10;2018;7.559,78
Ambos sexos;Comunitat Valenciana;Percentil 10;2017;7.265,78
Ambos sexos;Comunitat Valenciana;Percentil 10;2016;7.043,28
Ambos sexos;Comunitat Valenciana;Percentil 10;2015;6.897,32
Ambos sexos;Comunitat Valenciana;Percentil 10;2014;6.636,24
Ambos sexos;Comunitat Valenciana;Percentil 10;2013;7.283,51
Ambos sexos;Comunitat Valenciana;Percentil 10;2012;7.487,14
Ambos sexos;Comunitat Valenciana;Percentil 10;2011;7.747,32
Ambos sexos;Comunitat Valenciana;Percentil 10;2010;7.718,91
Ambos sexos;Comunitat Valenciana;Percentil 10;2009;7.612,14
Ambos sexos;Comunitat Valenciana;Percentil 10;2008;8.317,02
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2022;15.505,54
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2021;14.127,59
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2020;13.650,62
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2019;13.231,62
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2018;13.281,5
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2017;12.865,12
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2016;12.808,8
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2015;12.428,28
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2014;12.244,8
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2013;12.362,83
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2012;12.887,28
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2011;12.977,23
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2010;12.962,67
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2009;12.850,38
Ambos sexos;Comunitat Valenciana;Cuartil inferior;2008;12.797,3
Ambos sexos;Comunitat Valenciana;Mediana;2022;20.768,8
Ambos sexos;Comunitat Valenciana;Mediana;2021;19.842,63
Ambos sexos;Comunitat Valenciana;Mediana;2020;19.108,09
Ambos sexos;Comunitat Valenciana;Mediana;2019;18.650,01
Ambos sexos;Comunitat Valenciana;Mediana;2018;18.887,4
Ambos sexos;Comunitat Valenciana;Mediana;2017;18.310,86
Ambos sexos;Comunitat Valenciana;Mediana;2016;18.008,49
Ambos sexos;Comunitat Valenciana;Mediana;2015;18.000
Ambos sexos;Comunitat Valenciana;Mediana;2014;17.856,7
Ambos sexos;Comunitat Valenciana;Mediana;2013;17.865,28
Ambos sexos;Comunitat Valenciana;Mediana;2012;18.074,33
Ambos sexos;Comunitat Valenciana;Mediana;2011;18.137,57
Ambos sexos;Comunitat Valenciana;Mediana;2010;17.483,64
Ambos sexos;Comunitat Valenciana;Mediana;2009;17.429,24
Ambos sexos;Comunitat Valenciana;Mediana;2008;16.863,72
Ambos sexos;Comunitat Valenciana;Cuartil superior;2022;29.794,97
Ambos sexos;Comunitat Valenciana;Cuartil superior;2021;29.008,32
Ambos sexos;Comunitat Valenciana;Cuartil superior;2020;28.227,28
Ambos sexos;Comunitat Valenciana;Cuartil superior;2019;27.255,68
Ambos sexos;Comunitat Valenciana;Cuartil superior;2018;27.023,88
Ambos sexos;Comunitat Valenciana;Cuartil superior;2017;26.410
Ambos sexos;Comunitat Valenciana;Cuartil superior;2016;26.271,94
Ambos sexos;Comunitat Valenciana;Cuartil superior;2015;25.743,45
Ambos sexos;Comunitat Valenciana;Cuartil superior;2014;25.339,66
Ambos sexos;Comunitat Valenciana;Cuartil superior;2013;25.586,28
Ambos sexos;Comunitat Valenciana;Cuartil superior;2012;25.978,62
Ambos sexos;Comunitat Valenciana;Cuartil superior;2011;26.090,15
Ambos sexos;Comunitat Valenciana;Cuartil superior;2010;25.120,03
Ambos sexos;Comunitat Valenciana;Cuartil superior;2009;24.961,52
Ambos sexos;Comunitat Valenciana;Cuartil superior;2008;23.849,8
Ambos sexos;Comunitat Valenciana;Percentil 90;2022;42.210,8
Ambos sexos;Comunitat Valenciana;Percentil 90;2021;41.107,12
Ambos sexos;Comunitat Valenciana;Percentil 90;2020;40.471,75
Ambos sexos;Comunitat Valenciana;Percentil 90;2019;39.437,05
Ambos sexos;Comunitat Valenciana;Percentil 90;2018;40.055,08
Ambos sexos;Comunitat Valenciana;Percentil 90;2017;38.196,06
Ambos sexos;Comunitat Valenciana;Percentil 90;2016;38.160,89
Ambos sexos;Comunitat Valenciana;Percentil 90;2015;37.632,8
Ambos sexos;Comunitat Valenciana;Percentil 90;2014;36.847,56
Ambos sexos;Comunitat Valenciana;Percentil 90;2013;37.246,07
Ambos sexos;Comunitat Valenciana;Percentil 90;2012;37.676
Ambos sexos;Comunitat Valenciana;Percentil 90;2011;37.964,03
Ambos sexos;Comunitat Valenciana;Percentil 90;2010;36.714,5
Ambos sexos;Comunitat Valenciana;Percentil 90;2009;36.322,24
Ambos sexos;Comunitat Valenciana;Percentil 90;2008;34.299,06
Ambos sexos;Extremadura;Media;2022;21.922,73
Ambos sexos;Extremadura;Media;2021;21.393,01
Ambos sexos;Extremadura;Media;2020;20.479,3
Ambos sexos;Extremadura;Media;2019;19.940,68
Ambos sexos;Extremadura;Media;2018;19.947,8
Ambos sexos;Extremadura;Media;2017;19.672,4
Ambos sexos;Extremadura;Media;2016;19.475,2
Ambos sexos;Extremadura;Media;2015;19.564,49
Ambos sexos;Extremadura;Media;2014;19.180,57
Ambos sexos;Extremadura;Media;2013;19.129,72
Ambos sexos;Extremadura;Media;2012;19.721,35
Ambos sexos;Extremadura;Media;2011;19.879,46
Ambos sexos;Extremadura;Media;2010;19.480,55
Ambos sexos;Extremadura;Media;2009;19.099,56
Ambos sexos;Extremadura;Media;2008;18.264,9
Ambos sexos;Extremadura;Percentil 10;2022;8.069,48
Ambos sexos;Extremadura;Percentil 10;2021;8.107,82
Ambos sexos;Extremadura;Percentil 10;2020;7.441,94
Ambos sexos;Extremadura;Percentil 10;2019;7.452,2
Ambos sexos;Extremadura;Percentil 10;2018;6.985,47
Ambos sexos;Extremadura;Percentil 10;2017;6.224,16
Ambos sexos;Extremadura;Percentil 10;2016;6.024,68
Ambos sexos;Extremadura;Percentil 10;2015;6.069,2
Ambos sexos;Extremadura;Percentil 10;2014;6.358,7
Ambos sexos;Extremadura;Percentil 10;2013;5.700,69
Ambos sexos;Extremadura;Percentil 10;2012;7.313,14
Ambos sexos;Extremadura;Percentil 10;2011;7.654,8
Ambos sexos;Extremadura;Percentil 10;2010;7.611,02
Ambos sexos;Extremadura;Percentil 10;2009;7.871,95
Ambos sexos;Extremadura;Percentil 10;2008;8.596,36
Ambos sexos;Extremadura;Cuartil inferior;2022;14.140,99
Ambos sexos;Extremadura;Cuartil inferior;2021;13.542,22
Ambos sexos;Extremadura;Cuartil inferior;2020;13.265,03
Ambos sexos;Extremadura;Cuartil inferior;2019;12.701,76
Ambos sexos;Extremadura;Cuartil inferior;2018;12.047,28
Ambos sexos;Extremadura;Cuartil inferior;2017;12.219,53
Ambos sexos;Extremadura;Cuartil inferior;2016;11.299,56
Ambos sexos;Extremadura;Cuartil inferior;2015;11.730,48
Ambos sexos;Extremadura;Cuartil inferior;2014;11.354,96
Ambos sexos;Extremadura;Cuartil inferior;2013;11.637,2
Ambos sexos;Extremadura;Cuartil inferior;2012;12.558,69
Ambos sexos;Extremadura;Cuartil inferior;2011;13.060,18
Ambos sexos;Extremadura;Cuartil inferior;2010;12.770,8
Ambos sexos;Extremadura;Cuartil inferior;2009;12.624
Ambos sexos;Extremadura;Cuartil inferior;2008;12.322,15
Ambos sexos;Extremadura;Mediana;2022;18.859,71
Ambos sexos;Extremadura;Mediana;2021;18.146,41
Ambos sexos;Extremadura;Mediana;2020;17.492,05
Ambos sexos;Extremadura;Mediana;2019;17.110,33
Ambos sexos;Extremadura;Mediana;2018;17.259,71
Ambos sexos;Extremadura;Mediana;2017;17.166,32
Ambos sexos;Extremadura;Mediana;2016;16.700,25
Ambos sexos;Extremadura;Mediana;2015;16.836,63
Ambos sexos;Extremadura;Mediana;2014;16.345,61
Ambos sexos;Extremadura;Mediana;2013;16.635,96
Ambos sexos;Extremadura;Mediana;2012;16.644,58
Ambos sexos;Extremadura;Mediana;2011;16.805,45
Ambos sexos;Extremadura;Mediana;2010;16.122,46
Ambos sexos;Extremadura;Mediana;2009;16.300,34
Ambos sexos;Extremadura;Mediana;2008;15.528,87
Ambos sexos;Extremadura;Cuartil superior;2022;26.641,51
Ambos sexos;Extremadura;Cuartil superior;2021;26.018,85
Ambos sexos;Extremadura;Cuartil superior;2020;24.818,97
Ambos sexos;Extremadura;Cuartil superior;2019;24.250,61
Ambos sexos;Extremadura;Cuartil superior;2018;23.888,93
Ambos sexos;Extremadura;Cuartil superior;2017;24.826,55
Ambos sexos;Extremadura;Cuartil superior;2016;24.579,35
Ambos sexos;Extremadura;Cuartil superior;2015;24.301,93
Ambos sexos;Extremadura;Cuartil superior;2014;23.701,24
Ambos sexos;Extremadura;Cuartil superior;2013;23.534,8
Ambos sexos;Extremadura;Cuartil superior;2012;23.098,99
Ambos sexos;Extremadura;Cuartil superior;2011;24.173,11
Ambos sexos;Extremadura;Cuartil superior;2010;23.058,78
Ambos sexos;Extremadura;Cuartil superior;2009;22.847,07
Ambos sexos;Extremadura;Cuartil superior;2008;21.378,24
Ambos sexos;Extremadura;Percentil 90;2022;38.264,66
Ambos sexos;Extremadura;Percentil 90;2021;37.582,44
Ambos sexos;Extremadura;Percentil 90;2020;35.556,13
Ambos sexos;Extremadura;Percentil 90;2019;35.324,71
Ambos sexos;Extremadura;Percentil 90;2018;34.991,67
Ambos sexos;Extremadura;Percentil 90;2017;34.196,27
Ambos sexos;Extremadura;Percentil 90;2016;34.316,43
Ambos sexos;Extremadura;Percentil 90;2015;33.754,33
Ambos sexos;Extremadura;Percentil 90;2014;34.323,77
Ambos sexos;Extremadura;Percentil 90;2013;33.290,98
Ambos sexos;Extremadura;Percentil 90;2012;34.249,07
Ambos sexos;Extremadura;Percentil 90;2011;34.792,25
Ambos sexos;Extremadura;Percentil 90;2010;34.433,4
Ambos sexos;Extremadura;Percentil 90;2009;33.263,07
Ambos sexos;Extremadura;Percentil 90;2008;31.302,08
Ambos sexos;Galicia;Media;2022;24.169,68
Ambos sexos;Galicia;Media;2021;23.305,86
Ambos sexos;Galicia;Media;2020;22.834,66
Ambos sexos;Galicia;Media;2019;22.177,4
Ambos sexos;Galicia;Media;2018;22.244,59
Ambos sexos;Galicia;Media;2017;21.605,88
Ambos sexos;Galicia;Media;2016;21.082,12
Ambos sexos;Galicia;Media;2015;20.624,55
Ambos sexos;Galicia;Media;2014;20.195,89
Ambos sexos;Galicia;Media;2013;19.824,66
Ambos sexos;Galicia;Media;2012;19.389,2
Ambos sexos;Galicia;Media;2011;19.970,29
Ambos sexos;Galicia;Media;2010;20.241,99
Ambos sexos;Galicia;Media;2009;19.806,66
Ambos sexos;Galicia;Media;2008;19.156,41
Ambos sexos;Galicia;Percentil 10;2022;9.755,28
Ambos sexos;Galicia;Percentil 10;2021;10.065,82
Ambos sexos;Galicia;Percentil 10;2020;9.009,15
Ambos sexos;Galicia;Percentil 10;2019;8.824,97
Ambos sexos;Galicia;Percentil 10;2018;8.568,76
Ambos sexos;Galicia;Percentil 10;2017;8.588,31
Ambos sexos;Galicia;Percentil 10;2016;8.161,71
Ambos sexos;Galicia;Percentil 10;2015;8.028,43
Ambos sexos;Galicia;Percentil 10;2014;7.736,9
Ambos sexos;Galicia;Percentil 10;2013;7.763,16
Ambos sexos;Galicia;Percentil 10;2012;7.815,32
Ambos sexos;Galicia;Percentil 10;2011;8.287,56
Ambos sexos;Galicia;Percentil 10;2010;8.828,16
Ambos sexos;Galicia;Percentil 10;2009;8.742,56
Ambos sexos;Galicia;Percentil 10;2008;8.400
Ambos sexos;Galicia;Cuartil inferior;2022;15.318,52
Ambos sexos;Galicia;Cuartil inferior;2021;14.491,19
Ambos sexos;Galicia;Cuartil inferior;2020;14.084,57
Ambos sexos;Galicia;Cuartil inferior;2019;13.991,27
Ambos sexos;Galicia;Cuartil inferior;2018;13.679,88
Ambos sexos;Galicia;Cuartil inferior;2017;13.571,11
Ambos sexos;Galicia;Cuartil inferior;2016;13.136,33
Ambos sexos;Galicia;Cuartil inferior;2015;13.199,46
Ambos sexos;Galicia;Cuartil inferior;2014;12.629,69
Ambos sexos;Galicia;Cuartil inferior;2013;12.815,14
Ambos sexos;Galicia;Cuartil inferior;2012;12.718,73
Ambos sexos;Galicia;Cuartil inferior;2011;12.962,34
Ambos sexos;Galicia;Cuartil inferior;2010;13.025,44
Ambos sexos;Galicia;Cuartil inferior;2009;12.730,61
Ambos sexos;Galicia;Cuartil inferior;2008;12.293,82
Ambos sexos;Galicia;Mediana;2022;20.497,55
Ambos sexos;Galicia;Mediana;2021;19.880,64
Ambos sexos;Galicia;Mediana;2020;19.389,46
Ambos sexos;Galicia;Mediana;2019;18.813,49
Ambos sexos;Galicia;Mediana;2018;18.600
Ambos sexos;Galicia;Mediana;2017;18.529,26
Ambos sexos;Galicia;Mediana;2016;18.146,24
Ambos sexos;Galicia;Mediana;2015;17.599,99
Ambos sexos;Galicia;Mediana;2014;17.379,48
Ambos sexos;Galicia;Mediana;2013;17.187,12
Ambos sexos;Galicia;Mediana;2012;16.632,45
Ambos sexos;Galicia;Mediana;2011;16.873,88
Ambos sexos;Galicia;Mediana;2010;17.216,32
Ambos sexos;Galicia;Mediana;2009;16.569,15
Ambos sexos;Galicia;Mediana;2008;16.150,71
Ambos sexos;Galicia;Cuartil superior;2022;29.138,04
Ambos sexos;Galicia;Cuartil superior;2021;28.154,6
Ambos sexos;Galicia;Cuartil superior;2020;27.696,32
Ambos sexos;Galicia;Cuartil superior;2019;26.744,67
Ambos sexos;Galicia;Cuartil superior;2018;26.946,82
Ambos sexos;Galicia;Cuartil superior;2017;26.408,89
Ambos sexos;Galicia;Cuartil superior;2016;25.610,76
Ambos sexos;Galicia;Cuartil superior;2015;25.004,71
Ambos sexos;Galicia;Cuartil superior;2014;24.364,24
Ambos sexos;Galicia;Cuartil superior;2013;23.692,12
Ambos sexos;Galicia;Cuartil superior;2012;22.687,5
Ambos sexos;Galicia;Cuartil superior;2011;23.677,36
Ambos sexos;Galicia;Cuartil superior;2010;24.002,79
Ambos sexos;Galicia;Cuartil superior;2009;23.633,22
Ambos sexos;Galicia;Cuartil superior;2008;23.001,97
Ambos sexos;Galicia;Percentil 90;2022;41.574,36
Ambos sexos;Galicia;Percentil 90;2021;39.689,9
Ambos sexos;Galicia;Percentil 90;2020;39.302,94
Ambos sexos;Galicia;Percentil 90;2019;38.318,99
Ambos sexos;Galicia;Percentil 90;2018;37.884,89
Ambos sexos;Galicia;Percentil 90;2017;37.886,92
Ambos sexos;Galicia;Percentil 90;2016;36.900,42
Ambos sexos;Galicia;Percentil 90;2015;36.302,05
Ambos sexos;Galicia;Percentil 90;2014;35.829,68
Ambos sexos;Galicia;Percentil 90;2013;34.654,73
Ambos sexos;Galicia;Percentil 90;2012;33.584,64
Ambos sexos;Galicia;Percentil 90;2011;35.362,51
Ambos sexos;Galicia;Percentil 90;2010;34.931,71
Ambos sexos;Galicia;Percentil 90;2009;35.429,35
Ambos sexos;Galicia;Percentil 90;2008;33.906,64
Ambos sexos;Madrid, Comunidad de;Media;2022;31.230,73
Ambos sexos;Madrid, Comunidad de;Media;2021;29.512,58
Ambos sexos;Madrid, Comunidad de;Media;2020;28.829,06
Ambos sexos;Madrid, Comunidad de;Media;2019;27.817,76
Ambos sexos;Madrid, Comunidad de;Media;2018;27.010,93
Ambos sexos;Madrid, Comunidad de;Media;2017;27.089,12
Ambos sexos;Madrid, Comunidad de;Media;2016;26.330,14
Ambos sexos;Madrid, Comunidad de;Media;2015;26.448,04
Ambos sexos;Madrid, Comunidad de;Media;2014;26.570,35
Ambos sexos;Madrid, Comunidad de;Media;2013;26.215,36
Ambos sexos;Madrid, Comunidad de;Media;2012;26.044,39
Ambos sexos;Madrid, Comunidad de;Media;2011;25.845,2
Ambos sexos;Madrid, Comunidad de;Media;2010;25.988,95
Ambos sexos;Madrid, Comunidad de;Media;2009;25.860,65
Ambos sexos;Madrid, Comunidad de;Media;2008;25.269,61
Ambos sexos;Madrid, Comunidad de;Percentil 10;2022;12.432,75
Ambos sexos;Madrid, Comunidad de;Percentil 10;2021;11.769,4
Ambos sexos;Madrid, Comunidad de;Percentil 10;2020;11.402,18
Ambos sexos;Madrid, Comunidad de;Percentil 10;2019;10.063,68
Ambos sexos;Madrid, Comunidad de;Percentil 10;2018;9.396,89
Ambos sexos;Madrid, Comunidad de;Percentil 10;2017;9.920,36
Ambos sexos;Madrid, Comunidad de;Percentil 10;2016;9.619,78
Ambos sexos;Madrid, Comunidad de;Percentil 10;2015;9.165,01
Ambos sexos;Madrid, Comunidad de;Percentil 10;2014;8.862,52
Ambos sexos;Madrid, Comunidad de;Percentil 10;2013;8.884,58
Ambos sexos;Madrid, Comunidad de;Percentil 10;2012;9.154,8
Ambos sexos;Madrid, Comunidad de;Percentil 10;2011;9.307,05
Ambos sexos;Madrid, Comunidad de;Percentil 10;2010;10.101,07
Ambos sexos;Madrid, Comunidad de;Percentil 10;2009;9.773,58
Ambos sexos;Madrid, Comunidad de;Percentil 10;2008;9.715,01
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2022;17.085,48
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2021;16.463,53
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2020;15.709,73
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2019;15.070,7
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2018;14.732,73
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2017;14.697,3
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2016;14.263,26
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2015;14.359,3
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2014;14.275,72
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2013;14.117,55
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2012;14.323,48
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2011;14.192,74
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2010;14.604,68
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2009;14.205,96
Ambos sexos;Madrid, Comunidad de;Cuartil inferior;2008;13.915,75
Ambos sexos;Madrid, Comunidad de;Mediana;2022;25.203,47
Ambos sexos;Madrid, Comunidad de;Mediana;2021;24.090,61
Ambos sexos;Madrid, Comunidad de;Mediana;2020;23.231,04
Ambos sexos;Madrid, Comunidad de;Mediana;2019;22.262,74
Ambos sexos;Madrid, Comunidad de;Mediana;2018;21.477,88
Ambos sexos;Madrid, Comunidad de;Mediana;2017;21.608,08
Ambos sexos;Madrid, Comunidad de;Mediana;2016;21.165
Ambos sexos;Madrid, Comunidad de;Mediana;2015;21.307,78
Ambos sexos;Madrid, Comunidad de;Mediana;2014;21.579,38
Ambos sexos;Madrid, Comunidad de;Mediana;2013;21.273,89
Ambos sexos;Madrid, Comunidad de;Mediana;2012;21.418,48
Ambos sexos;Madrid, Comunidad de;Mediana;2011;21.045,69
Ambos sexos;Madrid, Comunidad de;Mediana;2010;21.319,25
Ambos sexos;Madrid, Comunidad de;Mediana;2009;20.712,42
Ambos sexos;Madrid, Comunidad de;Mediana;2008;20.269,59
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2022;39.260,5
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2021;37.441,93
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2020;36.697,27
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2019;35.519,71
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2018;34.273,57
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2017;34.094,32
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2016;33.321,02
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2015;33.382,74
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2014;33.791,93
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2013;33.557,52
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2012;33.429,03
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2011;33.026,05
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2010;32.678,77
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2009;33.000
Ambos sexos;Madrid, Comunidad de;Cuartil superior;2008;32.008,66
Ambos sexos;Madrid, Comunidad de;Percentil 90;2022;57.854,73
Ambos sexos;Madrid, Comunidad de;Percentil 90;2021;54.074,15
Ambos sexos;Madrid, Comunidad de;Percentil 90;2020;53.499,96
Ambos sexos;Madrid, Comunidad de;Percentil 90;2019;51.938,58
Ambos sexos;Madrid, Comunidad de;Percentil 90;2018;51.234,14
Ambos sexos;Madrid, Comunidad de;Percentil 90;2017;50.280,72
Ambos sexos;Madrid, Comunidad de;Percentil 90;2016;49.427,2
Ambos sexos;Madrid, Comunidad de;Percentil 90;2015;49.079,02
Ambos sexos;Madrid, Comunidad de;Percentil 90;2014;49.985,99
Ambos sexos;Madrid, Comunidad de;Percentil 90;2013;49.370,05
Ambos sexos;Madrid, Comunidad de;Percentil 90;2012;48.734,74
Ambos sexos;Madrid, Comunidad de;Percentil 90;2011;48.212,49
Ambos sexos;Madrid, Comunidad de;Percentil 90;2010;47.391,3
Ambos sexos;Madrid, Comunidad de;Percentil 90;2009;48.338,55
Ambos sexos;Madrid, Comunidad de;Percentil 90;2008;46.748,62
Ambos sexos;Murcia, Región de;Media;2022;23.851,69
Ambos sexos;Murcia, Región de;Media;2021;23.281,39
Ambos sexos;Murcia, Región de;Media;2020;22.919,62
Ambos sexos;Murcia, Región de;Media;2019;22.123,99
Ambos sexos;Murcia, Región de;Media;2018;21.510,59
Ambos sexos;Murcia, Región de;Media;2017;21.309,22
Ambos sexos;Murcia, Región de;Media;2016;21.242,5
Ambos sexos;Murcia, Región de;Media;2015;20.928,98
Ambos sexos;Murcia, Región de;Media;2014;20.717,07
Ambos sexos;Murcia, Región de;Media;2013;20.449,83
Ambos sexos;Murcia, Región de;Media;2012;20.682,01
Ambos sexos;Murcia, Región de;Media;2011;21.077,49
Ambos sexos;Murcia, Región de;Media;2010;20.863,37
Ambos sexos;Murcia, Región de;Media;2009;20.430,4
Ambos sexos;Murcia, Región de;Media;2008;18.911,75
Ambos sexos;Murcia, Región de;Percentil 10;2022;10.017,7
Ambos sexos;Murcia, Región de;Percentil 10;2021;9.848,06
Ambos sexos;Murcia, Región de;Percentil 10;2020;9.150,06
Ambos sexos;Murcia, Región de;Percentil 10;2019;8.938,21
Ambos sexos;Murcia, Región de;Percentil 10;2018;7.812,2
Ambos sexos;Murcia, Región de;Percentil 10;2017;7.736,02
Ambos sexos;Murcia, Región de;Percentil 10;2016;7.567,09
Ambos sexos;Murcia, Región de;Percentil 10;2015;7.000,71
Ambos sexos;Murcia, Región de;Percentil 10;2014;6.893,23
Ambos sexos;Murcia, Región de;Percentil 10;2013;6.788,11
Ambos sexos;Murcia, Región de;Percentil 10;2012;6.926,64
Ambos sexos;Murcia, Región de;Percentil 10;2011;7.689,32
Ambos sexos;Murcia, Región de;Percentil 10;2010;7.481,65
Ambos sexos;Murcia, Región de;Percentil 10;2009;7.907,43
Ambos sexos;Murcia, Región de;Percentil 10;2008;7.895,09
Ambos sexos;Murcia, Región de;Cuartil inferior;2022;14.182,58
Ambos sexos;Murcia, Región de;Cuartil inferior;2021;13.957,39
Ambos sexos;Murcia, Región de;Cuartil inferior;2020;13.433,11
Ambos sexos;Murcia, Región de;Cuartil inferior;2019;13.402,47
Ambos sexos;Murcia, Región de;Cuartil inferior;2018;12.970,44
Ambos sexos;Murcia, Región de;Cuartil inferior;2017;12.970,82
Ambos sexos;Murcia, Región de;Cuartil inferior;2016;12.265,37
Ambos sexos;Murcia, Región de;Cuartil inferior;2015;12.402,24
Ambos sexos;Murcia, Región de;Cuartil inferior;2014;12.437,58
Ambos sexos;Murcia, Región de;Cuartil inferior;2013;11.717,17
Ambos sexos;Murcia, Región de;Cuartil inferior;2012;12.444,96
Ambos sexos;Murcia, Región de;Cuartil inferior;2011;12.531,12
Ambos sexos;Murcia, Región de;Cuartil inferior;2010;12.589,39
Ambos sexos;Murcia, Región de;Cuartil inferior;2009;12.492
Ambos sexos;Murcia, Región de;Cuartil inferior;2008;12.270,02
Ambos sexos;Murcia, Región de;Mediana;2022;19.903,52
Ambos sexos;Murcia, Región de;Mediana;2021;19.550,44
Ambos sexos;Murcia, Región de;Mediana;2020;19.377,52
Ambos sexos;Murcia, Región de;Mediana;2019;18.519,9
Ambos sexos;Murcia, Región de;Mediana;2018;18.641,49
Ambos sexos;Murcia, Región de;Mediana;2017;18.004,27
Ambos sexos;Murcia, Región de;Mediana;2016;17.551,8
Ambos sexos;Murcia, Región de;Mediana;2015;17.669,43
Ambos sexos;Murcia, Región de;Mediana;2014;17.459,44
Ambos sexos;Murcia, Región de;Mediana;2013;17.401,72
Ambos sexos;Murcia, Región de;Mediana;2012;17.650,5
Ambos sexos;Murcia, Región de;Mediana;2011;17.783,88
Ambos sexos;Murcia, Región de;Mediana;2010;17.436,29
Ambos sexos;Murcia, Región de;Mediana;2009;17.243,78
Ambos sexos;Murcia, Región de;Mediana;2008;16.321,96
Ambos sexos;Murcia, Región de;Cuartil superior;2022;28.118,12
Ambos sexos;Murcia, Región de;Cuartil superior;2021;27.924,59
Ambos sexos;Murcia, Región de;Cuartil superior;2020;27.916,74
Ambos sexos;Murcia, Región de;Cuartil superior;2019;26.780,49
Ambos sexos;Murcia, Región de;Cuartil superior;2018;26.389,63
Ambos sexos;Murcia, Región de;Cuartil superior;2017;25.903,69
Ambos sexos;Murcia, Región de;Cuartil superior;2016;25.965,86
Ambos sexos;Murcia, Región de;Cuartil superior;2015;25.534,01
Ambos sexos;Murcia, Región de;Cuartil superior;2014;26.037,36
Ambos sexos;Murcia, Región de;Cuartil superior;2013;24.994,32
